kode_bps_2010,name_kab,Islam,Kristen,Katolik,Hindu,Budha,Khong Hu Chu,Lainnya,Tidak Terjawab,Tidak Ditanyakan
1101,Simeulue,99.69011081637207,0.2119642016015073,0.006197783672558694,0.0,0.030988918362793466,0.0,0.0,0.0012395567345117387,0.059498723256563454
1102,Aceh Singkil,88.29273527202488,10.452740734959857,0.7277409788408823,0.0019510482006457968,0.0009755241003228984,0.0,0.25656283838492233,0.0,0.2672936034884742
1103,Aceh Selatan,99.22620901750795,0.039060375474039684,0.00642765672357615,0.0,0.05784891051218535,0.0,0.0,0.0,0.6704540397822508
1104,Aceh Tenggara,81.14909781576448,17.992849561477012,0.7122507122507122,0.0016758840288252053,0.0011172560192168036,0.0,0.0,0.0,0.14300877045975086
1105,Aceh Timur,99.90817671128373,0.008322352451626326,0.002496705735487898,0.0,0.011928705180664401,0.00027741174838754424,0.0,0.0,0.06879811360011097
1106,Aceh Tengah,99.50548918400018,0.1862961253824198,0.0501347371059723,0.0005697129216587761,0.1287551202948834,0.0005697129216587761,0.0,0.0,0.12818540737322462
1107,Aceh Barat,98.3538644142016,0.20627110245566324,0.023623226817548023,0.0017285287915279042,0.36529575127623043,0.0040332338468984435,0.0,0.0,1.0451837426105395
1108,Aceh Besar,98.32592525141001,0.19378631714937766,0.038700351148774396,0.005691228110113881,0.043822456447876884,0.0017073684330341644,0.0002845614055056941,0.0,1.3900824658953155
1109,Pidie,99.56344893803349,0.020838389060637074,0.002373993690452325,0.000263777076716925,0.030334363822446374,0.0,0.0,0.0,0.3827405383162582
1110,Bireuen,99.50961755820883,0.04392634758841783,0.001798154579642835,0.0028256714822958834,0.08322886911489694,0.001798154579642835,0.0,0.0,0.35680524444627115
1111,Aceh Utara,99.89580010231222,0.032279316131541044,0.0024539830977194947,0.0016989113753442656,0.018499257198193113,0.0,0.0,0.0,0.0492684298849837
1112,Aceh Barat Daya,99.73975689485543,0.019042178425211845,0.0031736964042019737,0.0,0.1459900345932908,0.0,0.0,0.0,0.09203719572185724
1113,Gayo Lues,99.71216691804928,0.18476621417797887,0.0012569130216189038,0.0012569130216189038,0.0012569130216189038,0.0,0.0,0.0,0.09929612870789341
1114,Aceh Tamiang,98.98378017894996,0.24929142485133815,0.028184221599434726,0.0003969608675976722,0.5021554975110554,0.002778726073183705,0.0,0.0,0.23341299014743128
1115,Nagan Raya,99.43148865483342,0.1747062572048431,0.002864037003358083,0.0,0.03150440703693892,0.0,0.0,0.0,0.3594366439214395
1116,Aceh Jaya,98.33164022817847,0.08335286916204318,0.0039071657419707745,0.006511942903284624,0.0013023885806569247,0.0,0.0,0.0,1.5732854054335652
1117,Bener Meriah,99.54611251502735,0.06706085363559787,0.00981378345886798,0.005724707017672988,0.03434824210603793,0.0008178152882389984,0.0,0.0,0.3361220834662283
1118,Pidie Jaya,99.32759709979241,0.01052979933210987,0.0007521285237221336,0.0,0.0007521285237221336,0.0007521285237221336,0.0,0.0,0.6596167153043112
1171,Kota Banda Aceh,97.0887820771014,0.7030781486354645,0.19288776706676333,0.022376771121434262,1.134502295856717,0.0013426062672860558,0.004922889646715538,0.0,0.8521074443042167
1172,Kota Sabang,97.50758490196718,0.9232375297687013,0.17290314161745995,0.0032623234267445274,0.7699083287117086,0.0,0.006524646853489055,0.0,0.6165791276547157
1173,Kota Langsa,98.27587364463393,0.3571788243982678,0.008056665211991004,0.008728053979656921,0.30548188928799225,0.0,0.0,0.0,1.0446809224881668
1174,Kota Lhokseumawe,99.10494674666838,0.3149045062309027,0.04381788120096049,0.004089668912089645,0.3254207977191332,0.0,0.0,0.0,0.20682039926853352
1175,Kota Subulussalam,97.71669187201613,1.7643744625329896,0.45369629036562586,0.0014826676155739408,0.0029653352311478816,0.0029653352311478816,0.0,0.0,0.057824037007383686
1201,Nias,1.1691544182010551,86.23503352946102,12.566887659179308,0.0,0.0,0.0030446729640652473,0.02055154250744042,0.004567009446097872,0.0007611682410163118
1202,Mandailing Natal,95.51198310881725,3.074985491856919,0.11211399078887258,0.002469471162750497,0.0039511538604007955,0.0,0.0,0.0,1.2944967835138104
1203,Tapanuli Selatan,78.60508310748062,19.610332998502738,0.9643121126547012,0.0011371605102060156,0.005685802551030078,0.0,0.01667835414968823,0.0,0.7967704641510149
1204,Tapanuli Tengah,42.71154637055316,45.30800174789225,11.613844334772775,0.005783466995681678,0.06683117417232161,0.0009639111659469463,0.11117108780588113,0.002570429775858523,0.17928747686613203
1205,Tapanuli Utara,4.7629960932044675,90.23623400666769,4.58896285500453,0.0007161861654318423,0.04977493849751305,0.001790465413579606,0.008952327067898029,0.0025066515790114485,0.34806647639987537
